p_n(x),n,i,x_i,w_i
L_n(x),10,3,3.401433697854846,0.062087456098654
L_n(x),10,4,5.552496140063801,0.009501516975189
L_n(x),10,5,8.330152746764503,0.000753008388586
L_n(x),10,6,11.843785837900068,2.8259233496e-05
L_n(x),10,7,16.279257831378086,4.24931423e-07
L_n(x),10,8,21.996585811980804,1.839561e-09
L_n(x),10,9,29.920697012273912,2.1789e-11
H_n(x),1,0,0.0,1.772453850905516
H_n(x),2,0,-0.707106781186548,0.886226925452758
H_n(x),2,1,0.707106781186548,0.886226925452758
H_n(x),3,0,-1.224744871391256,0.295408975151085
H_n(x),3,1,9e-15,1.181635900603355
H_n(x),3,2,1.224744871391256,0.295408975151076
H_n(x),4,0,-1.650680123885785,0.081312835447246
H_n(x),4,1,-0.524647623275289,0.804914090005512
H_n(x),4,2,0.524647623275289,0.804914090005512
H_n(x),4,3,1.650680123885785,0.081312835447246
H_n(x),5,0,-2.020182870456086,0.019953242059045
H_n(x),5,1,-0.958572464613819,0.393619323152253
H_n(x),5,2,1.9e-14,0.945308720482942
H_n(x),5,3,0.958572464613819,0.393619323152229
H_n(x),5,4,2.020182870456086,0.019953242059047
H_n(x),6,0,-2.350604973674492,0.004530009905509
H_n(x),6,1,-1.335849074013697,0.157067320322858
H_n(x),6,2,-0.436077411927614,0.72462959522439
H_n(x),6,3,0.436077411927614,0.72462959522439
H_n(x),6,4,1.335849074013697,0.157067320322858
H_n(x),6,5,2.350604973674492,0.004530009905509
H_n(x),7,0,-2.651961356835234,0.000971781245099
H_n(x),7,1,-1.673551628767471,0.054515582819124
H_n(x),7,2,-0.816287882858958,0.425607252610153
H_n(x),7,3,2.9e-14,0.810264617556798
H_n(x),7,4,0.816287882858958,0.425607252610111
H_n(x),7,5,1.673551628767471,0.054515582819131
H_n(x),7,6,2.651961356835234,0.000971781245099
H_n(x),8,0,-2.930637420257244,0.000199604072211
H_n(x),8,1,-1.981656756695843,0.017077983007433
H_n(x),8,2,-1.15719371244678,0.207802325814892
H_n(x),8,3,-0.381186990207322,0.661147012558241
H_n(x),8,4,0.381186990207322,0.661147012558241
H_n(x),8,5,1.15719371244678,0.207802325814892
H_n(x),8,6,1.981656756695843,0.017077983007433
H_n(x),8,7,2.930637420257244,0.000199604072211
H_n(x),9,0,-3.190993201781528,3.9606977263e-05
H_n(x),9,1,-2.266580584531842,0.004943624275538
H_n(x),9,2,-1.468553289216668,0.088474527394373
H_n(x),9,3,-0.723551018752819,0.432651559002596
H_n(x),9,4,3.8e-14,0.720235215606022
H_n(x),9,5,0.723551018752819,0.432651559002538
H_n(x),9,6,1.468553289216668,0.088474527394386
H_n(x),9,7,2.266580584531842,0.004943624275536
H_n(x),9,8,3.190993201781528,3.9606977263e-05
H_n(x),10,0,-3.436159118837738,7.640432855e-06
H_n(x),10,1,-2.53273167423279,0.001343645746781
H_n(x),10,2,-1.756683649299881,0.033874394455482
H_n(x),10,3,-1.036610829789514,0.240138611082317
H_n(x),10,4,-0.342901327223702,0.610862633735324
H_n(x),10,5,0.342901327223702,0.610862633735324
H_n(x),10,6,1.036610829789514,0.240138611082317
H_n(x),10,7,1.756683649299881,0.033874394455482
H_n(x),10,8,2.53273167423279,0.001343645746781
H_n(x),10,9,3.436159118837738,7.640432855e-06
